Species	Section	Photos
Cypripedium acaule	Acaulia	4
Cypripedium arietinum	Arietinum	3
Cypripedium plectrochilum	Arietinum	4
Cypripedium guttatum	Bifolia	6
Cypripedium yatabeanum	Bifolia	1
Cypripedium calceolus	Cypripedium	8
Cypripedium calcicola	Cypripedium	10
Cypripedium farreri	Cypripedium	4
Cypripedium parviflorum	Cypripedium	4
Cypripedium shanxiense	Cypripedium	8
Cypripedium tibeticum	Cypripedium	20
Cypripedium yunnanense	Cypripedium	3
Cypripedium fasciculatum	Enantiopedilum	1
Cypripedium formosanum	Flabellinervia	4
Cypripedium japonicum	Flabellinervia	7
Cypripedium franchetii	Macrantha	5
Cypripedium flavum	Obtusipetala	19
Cypripedium reginae	Obtusipetala	2
Cypripedium bardolphianum	Sinopedilum	13
Cypripedium forrestii	Sinopedilum	1
Cypripedium subtropicum	Subtropica	1
Cypripedium wardii	Subtropica	1
Cypripedium fargesii	Trigonopedia	9
Cypripedium sichuanense	Trigonopedia	11
Mexipedium xerophyticum	Mexipedium	8
Paphiopedilum acmodontum	Barbata	11
Paphiopedilum appletonianum	Barbata	7
Paphiopedilum argus	Barbata	11
Paphiopedilum barbatum	Barbata	17
Paphiopedilum boungainvilleanum	Barbata	9
Paphiopedilum bullenianum	Barbata	12
Paphiopedilum callosum	Barbata	16
Paphiopedilum ciliolare	Barbata	7
Paphiopedilum dayanum	Barbata	11
Paphiopedilum fowliei	Barbata	11
Paphiopedilum hennisianum	Barbata	15
Paphiopedilum hookerae	Barbata	12
Paphiopedilum javanicum	Barbata	6
Paphiopedilum lawrenceanum	Barbata	12
Paphiopedilum mastersianum	Barbata	9
Paphiopedilum papuanum	Barbata	8
Paphiopedilum purpuratum	Barbata	16
Paphiopedilum sangii	Barbata	8
Paphiopedilum schoseri	Barbata	9
Paphiopedilum sukhakulii	Barbata	19
Paphiopedilum superbiens	Barbata	13
Paphiopedilum tonsum	Barbata	18
Paphiopedilum urbanianum	Barbata	20
Paphiopedilum venustum	Barbata	10
Paphiopedilum violascens	Barbata	15
Paphiopedilum wardii	Barbata	20
Paphiopedilum wentworthianum	Barbata	4
Paphiopedilum bellatulum	Brachypetalum	10
Paphiopedilum concolor	Brachypetalum	14
Paphiopedilum godefroyae	Brachypetalum	11
Paphiopedilum niveum	Brachypetalum	19
Paphiopedilum thaianum	Brachypetalum	6
Paphiopedilum wenshanense	Brachypetalum	3
Paphiopedilum glaucophyllum	Cochlopetalum	15
Paphiopedilum liemianum	Cochlopetalum	20
Paphiopedilum primulinum	Cochlopetalum	19
Paphiopedilum victoria-mariae	Cochlopetalum	3
Paphiopedilum victoria-regina	Cochlopetalum	9
Paphiopedilum adductum	Coryopedilum	8
Paphiopedilum gigantifolium	Coryopedilum	2
Paphiopedilum glanduliferum	Coryopedilum	8
Paphiopedilum kolopakingii	Coryopedilum	2
Paphiopedilum philippinense	Coryopedilum	10
Paphiopedilum randsii	Coryopedilum	5
Paphiopedilum rothschildianum	Coryopedilum	12
Paphiopedilum stonei	Coryopedilum	6
Paphiopedilum supardii	Coryopedilum	2
Paphiopedilum wilhelminiae	Coryopedilum	5
Paphiopedilum barbigerum	Paphiopedilum	13
Paphiopedilum charlesworthii	Paphiopedilum	10
Paphiopedilum druryi	Paphiopedilum	13
Paphiopedilum exul	Paphiopedilum	15
Paphiopedilum fairrieanum	Paphiopedilum	14
Paphiopedilum gratrixianum	Paphiopedilum	11
Paphiopedilum helenae	Paphiopedilum	13
Paphiopedilum henryanum	Paphiopedilum	15
Paphiopedilum hirsutissimum	Paphiopedilum	14
Paphiopedilum insigne	Paphiopedilum	17
Paphiopedilum spicerianum	Paphiopedilum	20
Paphiopedilum tigrinum	Paphiopedilum	13
Paphiopedilum villosum	Paphiopedilum	20
Paphiopedilum dianthum	Pardalopetalum	9
Paphiopedilum haynaldianum	Pardalopetalum	13
Paphiopedilum lowii	Pardalopetalum	18
Paphiopedilum parishii	Pardalopetalum	8
Paphiopedilum armeniacum	Parvisepalum	27
Paphiopedilum delenatii	Parvisepalum	13
Paphiopedilum emersonii	Parvisepalum	19
Paphiopedilum malipoense	Parvisepalum	29
Paphiopedilum micranthum	Parvisepalum	39
Paphiopedilum vietnamense	Parvisepalum	8
Paphiopedilum boissierianum	Phragmipedium	2
Paphiopedilum hirtzii	Phragmipedium	1
Paphiopedilum longifolium	Phragmipedium	9
Paphiopedilum pearcei	Phragmipedium	7
Paphiopedilum vittatum	Phragmipedium	2
Paphiopedilum andreettae	Micropetalum	3
Paphiopedilum besseae	Micropetalum	12
Paphiopedilum fischeri	Micropetalum	5
Paphiopedilum schlimii	Micropetalum	18
Paphiopedilum caricinum	Phragmipedium	3
Paphiopedilum caudatum	Phragmipedium	2
Paphiopedilum christiansenianum	Phragmipedium	3
Paphiopedilum exstaminodium	Phragmipedium	1
Paphiopedilum klotzschianum	Phragmipedium	1
Paphiopedilum lindenii	Phragmipedium	1
Paphiopedilum ritchteri	Phragmipedium	10
Paphiopedilum warscewiczianum	Phragmipedium	5
Paphiopedilum lindelayanum	Platypetalum	1
Paphiopedilum sargentianum	Platypetalum	3
Selenipedium palmifolium	Selenipedium	4
